arch,dtype,num_heads,head_dim,hidden_dim,batch,max_seq_len,has_window,has_contextual,has_targets,kernel,block_m,block_n,num_waves,waves_per_eu,duration_us
gfx942,bf16,4,128,128,120,512,False,False,False,dvdk,64,16,4,0,107.596750
gfx942,bf16,4,128,128,120,512,False,False,False,dq,64,16,2,2,64.427250
gfx942,bf16,8,128,128,120,512,False,False,False,dvdk,64,16,4,0,187.263167
gfx942,bf16,8,128,128,120,512,False,False,False,dq,64,16,2,0,106.564167
gfx942,bf16,4,128,128,120,1024,False,False,False,dvdk,96,16,2,0,280.738333
gfx942,bf16,4,128,128,120,1024,False,False,False,dq,64,16,2,2,163.595500
gfx942,bf16,8,128,128,120,1024,False,False,False,dvdk,96,16,2,0,542.621000
gfx942,bf16,8,128,128,120,1024,False,False,False,dq,64,16,2,2,304.065500
gfx942,bf16,4,128,128,1024,512,False,False,False,dvdk,64,32,4,0,762.894500
gfx942,bf16,4,128,128,1024,512,False,False,False,dq,64,16,2,0,389.655500
gfx942,bf16,4,128,128,120,2048,False,False,False,dvdk,96,16,2,0,789.088167
gfx942,bf16,4,128,128,120,2048,False,False,False,dq,64,16,2,2,454.518333
gfx942,bf16,8,128,128,1024,512,False,False,False,dvdk,64,16,4,2,1516.829500
gfx942,bf16,8,128,128,1024,512,False,False,False,dq,64,16,2,0,790.739000
gfx942,bf16,8,128,128,120,2048,False,False,False,dvdk,96,16,2,0,1492.620667
gfx942,bf16,8,128,128,120,2048,False,False,False,dq,64,16,2,2,882.790667
gfx942,bf16,4,128,128,1024,1024,False,False,False,dvdk,96,16,2,0,2000.162000
gfx942,bf16,4,128,128,1024,1024,False,False,False,dq,64,16,2,2,1104.641500
gfx942,bf16,8,128,128,1024,1024,False,False,False,dvdk,96,16,2,0,3914.648000
gfx942,bf16,8,128,128,1024,1024,False,False,False,dq,64,16,2,2,2357.945500
gfx942,bf16,4,128,128,1024,2048,False,False,False,dvdk,96,16,2,0,5778.056500
gfx942,bf16,4,128,128,1024,2048,False,False,False,dq,64,16,2,2,3328.920000
gfx942,bf16,8,128,128,1024,2048,False,False,False,dvdk,96,16,2,0,11539.074500
gfx942,bf16,8,128,128,1024,2048,False,False,False,dq,64,16,2,2,6564.807000
gfx942,bf16,4,64,64,120,16384,False,False,False,dvdk,192,16,4,2,52194.200690
gfx942,bf16,4,64,64,120,16384,False,False,False,dq,128,32,2,2,10993.479000
gfx942,bf16,4,64,64,120,16384,False,False,True,dvdk,96,16,2,2,52493.460069
gfx942,bf16,4,64,64,120,16384,False,False,True,dq,128,32,2,2,11329.111000
gfx942,bf16,8,64,64,120,16384,False,False,False,dvdk,192,16,4,2,104616.458966
gfx942,bf16,8,64,64,120,16384,False,False,False,dq,128,32,2,0,20992.009000
gfx942,bf16,8,64,64,120,16384,False,False,True,dvdk,96,16,2,2,103611.563138
gfx942,bf16,8,64,64,120,16384,False,False,True,dq,128,32,2,2,21564.005500
gfx942,bf16,4,128,128,120,16384,False,False,False,dvdk,192,16,4,0,36205.441000
gfx942,bf16,4,128,128,120,16384,False,False,False,dq,128,32,2,0,22543.219000
gfx942,bf16,8,128,128,120,16384,False,False,False,dvdk,256,16,4,0,73336.091500
gfx942,bf16,8,128,128,120,16384,False,False,False,dq,128,32,2,0,44528.836000
